surface,chambres,distance_centre,annee_construction,prix
60,2,15.8,2022,229054
93,5,4.2,2003,496464
29,1,9.5,2006,86121
76,2,5.0,2010,360261
26,4,14.1,2005,121382
69,4,17.7,2005,231750
110,3,6.5,2009,552635
71,2,2.6,2018,372538
52,2,6.7,2017,240147
20,1,13.8,1997,68748
72,1,7.2,2013,282191
79,1,6.3,1992,327300
53,3,4.5,2014,253550
23,4,10.5,2008,134036
36,1,6.2,2022,203242
23,3,14.9,1991,83845
62,3,2.5,2004,367896
109,2,13.6,2011,429609
23,3,5.5,1999,122146
20,5,10.3,2007,73754
90,3,6.4,2011,482575
113,1,14.7,2016,439231
69,2,19.0,2002,188753
92,1,18.4,2022,336581
80,2,12.1,1994,283315
54,3,9.8,2015,252059
27,4,16.5,2002,65454
43,1,14.0,2016,135218
102,1,4.5,2003,460821
55,1,16.6,2013,111649
69,1,9.1,1992,267250
62,1,4.6,2019,317305
46,1,6.4,2003,192882
51,2,6.1,2001,254730
97,3,10.9,2017,400777
37,4,5.5,2018,223566
47,1,3.3,2006,211357
48,4,3.4,2010,306523
35,1,12.1,2012,98747
118,2,15.0,2009,479008
66,1,7.1,2000,302210
78,2,1.7,2023,427165
50,5,3.4,1999,314472
23,2,18.4,1999,-27468
56,1,10.4,1995,197534
36,2,9.6,2013,129911
58,2,1.7,2001,297491
67,2,14.8,2012,225739
65,1,11.0,2016,220302
109,5,4.8,1995,509010
67,1,3.1,1990,292973
58,1,8.3,1995,230275
23,3,16.9,2011,2240
49,4,17.4,2013,167726
49,4,12.5,2014,260319
41,1,14.8,2004,121067
94,1,3.2,2015,486396
85,2,12.2,1997,340908
31,1,13.7,2013,95436
113,1,4.8,1995,486078
55,1,17.7,1990,107885
37,5,4.7,2001,170277
109,3,7.0,2000,535549
72,4,12.8,2001,343992
90,1,13.1,1996,312612
20,1,14.3,2000,-2943
77,1,3.1,2020,353499
109,1,17.1,2022,401007
106,1,11.1,2002,448206
109,2,10.0,2007,421534
25,1,19.6,2013,-4231
89,2,15.1,1998,316778
63,5,3.2,2020,383155
91,2,15.4,1999,342006
43,3,2.8,1991,236107
105,1,1.5,2004,500612
38,2,8.7,1992,142833
37,2,19.9,2020,83856
114,3,4.3,1995,559563
49,1,13.8,1992,139192
61,4,4.3,2000,300075
52,3,14.8,2004,171996
93,3,10.6,2017,433751
31,5,13.9,1999,128567
113,3,4.9,1996,556896
46,5,15.2,2004,231060
58,3,19.9,2007,189914
28,2,13.6,2007,69702
40,2,10.4,2013,141640
95,1,18.5,1991,233398
48,3,1.3,2009,283479
52,1,14.9,2023,147832
81,1,17.9,2015,264283
34,1,2.2,1996,169206
21,2,9.6,2019,71929
71,2,4.9,1994,287408
63,1,11.8,2000,196126
73,3,13.3,1990,292344
37,1,6.7,2023,204449
22,1,9.7,1990,44904
26,3,6.3,2008,151228
62,2,8.0,1991,285246
