surface,chambres,distance_centre,annee_construction,prix
122,3,23.2,1991,285628
199,3,24.6,1967,484978
112,1,21.8,1978,179165
34,4,28.7,2022,-17935
126,5,1.5,1997,470997
91,3,6.7,1962,279112
40,1,1.2,2018,186996
122,5,19.8,1964,285968
141,4,27.0,1972,304151
94,3,8.1,2006,303501
107,5,27.9,2005,230846
136,5,2.7,2020,535321
119,5,28.1,1990,251287
123,3,11.2,2014,368816
171,3,3.9,1975,577637
150,2,15.1,2009,440490
169,4,8.4,1991,548182
72,1,9.3,1981,176464
21,5,9.9,1988,84672
107,2,24.3,1981,189372
177,1,16.6,2002,442560
57,2,10.0,1962,137963
149,3,18.7,2013,371767
40,5,21.8,1969,40842
180,1,8.9,2001,524308
77,1,13.0,2021,188694
41,1,4.5,1980,127734
108,1,6.3,1975,367151
68,1,20.8,1971,86935
78,2,6.3,1961,257302
189,5,16.2,2000,607397
34,3,21.6,1983,2586
194,3,4.1,1994,655718
70,3,17.5,2015,135549
127,3,8.4,1989,396044
74,2,28.9,2016,48939
83,4,15.0,1989,211896
150,5,24.4,2006,420422
70,1,17.0,1994,122639
154,4,2.3,1978,526210
40,3,19.4,2009,70099
92,4,28.6,1967,148279
186,5,18.4,1985,555279
37,1,24.8,2008,-80774
151,1,26.6,1999,343537
108,5,7.6,1966,351515
79,5,7.1,1989,300664
33,3,18.7,1966,54328
28,1,12.9,1962,45348
109,4,25.4,1960,186400
72,2,27.1,1995,32204
149,2,11.2,1984,457413
103,5,7.9,1996,362487
111,3,23.6,1960,201100
130,2,9.0,1974,393669
191,1,24.9,1996,442095
27,5,13.3,1972,75119
194,4,20.4,1999,538768
54,5,3.8,1967,235583
100,4,19.1,1964,211373
183,5,14.1,2019,605779
69,5,18.0,1968,169659
123,5,5.9,2022,465546
151,4,22.4,1960,341891
21,4,26.0,1995,-29476
153,5,7.3,1994,523042
73,2,3.8,1961,248455
125,3,1.7,2022,456059
23,3,19.6,1999,-13619
73,3,18.6,1982,146696
165,4,16.9,1968,400767
63,4,7.7,1993,227937
181,2,12.3,2005,572316
33,3,18.2,1973,21977
114,3,15.4,1963,268895
67,5,29.6,1989,79732
34,4,5.0,1990,165335
59,3,21.2,1997,93275
101,2,12.7,1970,254915
130,2,13.4,1994,350814
72,3,21.8,1967,99491
43,4,21.1,1962,43910
173,2,29.7,1973,323986
143,5,4.7,2019,516875
60,2,4.0,1972,227758
176,1,22.0,2004,456837
34,1,17.8,1991,-32448
64,4,9.0,1993,187066
84,3,3.3,2004,303962
108,4,3.5,2020,425579
90,4,26.9,1978,104998
28,4,6.6,2018,124990
107,4,10.4,1997,328394
148,5,7.6,1975,522035
155,5,11.3,1961,447602
82,2,3.0,1999,289644
158,1,16.1,1976,392305
100,4,3.0,2014,412709
155,2,24.2,1993,360770
182,1,7.8,2001,543962
182,3,16.7,2019,540684
52,5,26.5,1975,28945
142,1,19.9,1997,348883
24,3,16.5,2019,14912
60,1,10.4,1961,145347
47,5,10.7,1961,149365
154,5,20.4,1985,482188
91,2,29.8,1972,87501
31,4,20.2,2015,32810
181,1,17.2,2006,470205
52,1,22.2,1990,18942
67,3,14.5,2019,118935
170,5,2.7,1993,622858
81,1,17.3,1998,181604
56,5,28.8,1962,32963
118,1,6.1,1967,321152
191,2,21.0,1982,468083
123,4,6.8,1973,356879
54,1,16.5,2015,102566
120,5,3.8,2021,438940
194,2,14.1,2014,564739
150,1,22.9,1986,321495
20,3,11.1,2013,76617
24,4,20.3,1988,-9753
161,1,24.1,1998,372833
122,2,27.9,2012,234224
46,3,7.8,1998,175951
156,2,12.6,1960,423776
34,2,5.4,1976,140831
109,3,29.8,2000,135830
61,2,27.9,1989,33785
143,3,16.7,2012,377997
198,1,25.4,1972,441393
82,3,16.1,1980,199926
115,3,19.1,1978,280556
71,4,3.6,2012,296651
115,3,22.9,1978,211054
151,3,4.7,2016,547551
170,1,25.0,1984,353339
162,4,23.7,1981,384123
190,5,21.6,1990,538329
48,1,2.0,1976,154476
55,1,9.8,2014,145839
32,5,8.6,1982,76225
179,3,11.4,1991,547434
90,2,3.5,2021,324523
105,4,28.2,1969,164928
47,2,17.1,1969,6936
85,5,9.9,1995,281362
189,1,12.5,1967,522452
64,1,14.0,2013,127204
81,4,18.4,2011,160638
153,1,16.0,1979,418357
47,1,27.7,1991,-53176
47,4,15.4,2009,107160
127,4,29.8,1973,186529
63,5,25.7,2009,127466
103,1,7.0,1987,292394
49,1,28.0,2005,-27628
94,5,4.4,2011,388717
147,3,24.7,2012,330225
111,3,12.0,1983,334660
148,3,26.5,1974,272683
140,5,26.2,1981,335130
46,1,24.4,1989,13170
140,5,23.9,2022,351104
135,5,9.8,1963,452192
22,3,3.3,1972,131305
122,2,12.7,2018,342811
174,1,6.0,1982,527791
156,3,21.2,1967,360505
81,2,11.0,1977,199210
184,2,29.3,1971,373651
70,4,19.6,2014,136312
191,1,24.9,1990,466361
171,2,4.8,1973,529155
78,3,26.0,1993,108283
137,4,27.8,1977,285585
179,1,15.1,2015,524263
115,5,18.6,1993,300786
199,3,23.2,2022,534987
132,2,6.1,1970,424658
81,2,15.6,2000,214399
71,3,12.6,1971,166855
31,2,5.2,2008,98883
58,4,11.7,1974,138096
149,1,3.0,2016,540710
150,4,1.7,1990,568701
132,2,4.9,2008,436197
120,5,28.9,2017,294686
132,1,16.9,1988,313871
100,1,29.0,1985,129917
